PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_10000,CumuIR_10000,ppltn_2022
HS00001,Budiriro 5B Ext,17,0,0,0,0,42696
HS00002,Budiriro 1,17,11,11,4.547709608,4.547709608,24188
HS00003,Budiriro 3,17,0,0,0,0,8944
HS00004,Budiriro 2,17,0,0,0,0,12504
HS00005,Budiriro 4,17,0,0,0,0,9472
HS00006,Budiriro 5A,17,0,0,0,0,15924
HS00007,Budiriro 5B,17,0,0,0,0,19912
HS00009,Glen Norah A,17,0,0,0,0,31720
HS00011,Glen Norah C,17,0,0,0,0,6520
HS00013,Glen Norah B,17,0,0,0,0,12260
HS00014,Glenview 1,17,0,0,0,0,22104
HS00015,Glenview 8,17,0,0,0,0,17628
HS00017,Glenview 7,17,0,0,0,0,31340
HS00018,Glenview 2,17,0,0,0,0,5104
HS00019,Glenview 3,17,0,0,0,0,19152
HS00020,Glenview 4,17,0,0,0,0,4484
HS00021,Old Highfield,17,0,0,0,0,13928
HS00022,Western Triangle,17,0,0,0,0,5632
HS00024,Highfield Engineering,17,0,0,0,0,4380
HS00025,Highfield Lusaka,17,0,0,0,0,4396
HS00026,Highfield Paradise,17,0,0,0,0,3228
HS00027,Highfield Egypt,17,0,0,0,0,5144
HS00029,Highfield New Canaan,17,0,0,0,0,8980
HS00034,Rugare,17,0,0,0,0,7376
HS00042,Kuwadzana - Ext. (phase 4),17,0,0,0,0,25140
HS00043,Kuwadzana 7,17,0,0,0,0,5712
HS00044,Kuwadzana 5,17,0,0,0,0,15700
HS00046,Kuwadzana 2,17,0,0,0,0,5416
HS00047,Kuwadzana 3,17,0,0,0,0,10324
HS00050,Crowborough North,17,0,0,0,0,12808
HS00051,Crowborough North Ext.,17,0,0,0,0,9896
HS00055,Southerton Residential,17,0,0,0,0,10552
HS00056,Warren Park D,17,0,0,0,0,15156
HS00061,Ushewokunze,17,0,0,0,0,105708
HS00064,Lochinvar,17,0,0,0,0,10120
HS00065,Mufakose,17,0,0,0,0,38528
HS00093,Borrowdale,17,0,0,0,0,16408
HS00103,Braeside,17,0,0,0,0,10692
HS00104,Caledonia,17,0,0,0,0,146192
HS00107,Chisipite,17,0,0,0,0,9640
HS00114,Dzivaresekwa 4,17,0,0,0,0,2840
HS00118,Dzivaresekwa Ext,17,0,0,0,0,35372
HS00119,Eastlea,17,0,0,0,0,10932
HS00123,Glen Lorne,17,0,0,0,0,19684
HS00124,Glenwood,17,0,0,0,0,4336
HS00137,Hatcliffe Consortium,17,0,0,0,0,29108
HS00138,Hatcliffe 1,17,0,0,0,0,9636
HS00140,Hatfield,17,0,0,0,0,38996
HS00144,Hopely,17,0,0,0,0,79780
HS00156,Monavale,17,0,0,0,0,4848
HS00157,New Mabvuku,17,0,0,0,0,26852
HS00159,Mabvuku (Undeveloped),17,0,0,0,0,40
HS00170,Mbare Ardbennie,17,0,0,0,0,7964
HS00172,Mount Pleasant,17,0,0,0,0,49924
HS00181,Mukuvisi Woodlands,17,0,0,0,0,4128
HS00182,New Settlement,17,0,0,0,0,23316
HS00188,Sunningdale,17,0,0,0,0,12200
HS00193,Tynwald,17,0,0,0,0,20212
HS00201,Waterfalls Retreat,17,0,0,0,0,62224
HS00203,Waterfalls Mainway Meadows,17,0,0,0,0,45236
HS00205,Westgate,17,0,0,0,0,9672
HS00206,Westlea,17,0,0,0,0,16660
